asset_id,name,kind,country,latitude,longitude,source
1,Honiara International Airport,airport,SB,-9.428,160.054993,ourairports:AGGH
2,Western Sydney International (Nancy-Bird Walton) Airport,airport,AU,-33.883461,150.712981,ourairports:AU-0539
3,Nadzab Tomodachi International Airport,airport,PG,-6.567995,146.726544,ourairports:AYNZ
4,Port Moresby Jacksons International Airport,airport,PG,-9.44338035583496,147.22000122070312,ourairports:AYPY
5,Nuuk International Airport,airport,GL,64.191066,-51.67914,ourairports:BGGH
6,Akureyri International Airport,airport,IS,65.656573,-18.072018,ourairports:BIAR
7,Keflavik International Airport,airport,IS,63.985001,-22.6056,ourairports:BIKF
8,Priština Adem Jashari International Airport,airport,XK,42.5728,21.035801,ourairports:BKPR
9,Edmonton International Airport,airport,CA,53.3097,-113.580002,ourairports:CYEG
10,Halifax / Stanfield International Airport,airport,CA,44.8807983398,-63.5085983276,ourairports:CYHZ
11,Kelowna International Airport,airport,CA,49.9561,-119.377998,ourairports:CYLW
12,Ottawa Macdonald-Cartier International Airport,airport,CA,45.322498,-75.669197,ourairports:CYOW
13,Quebec Jean Lesage International Airport,airport,CA,46.7911,-71.393303,ourairports:CYQB
14,Montreal / Pierre Elliott Trudeau International Airport,airport,CA,45.467837,-73.742294,ourairports:CYUL
15,Vancouver International Airport,airport,CA,49.193901,-123.183998,ourairports:CYVR
16,Winnipeg / James Armstrong Richardson International Airport,airport,CA,49.909999847399995,-97.2398986816,ourairports:CYWG
17,Saskatoon John G. Diefenbaker International Airport,airport,CA,52.170723,-106.700793,ourairports:CYXE
18,Calgary International Airport,airport,CA,51.118822,-114.009933,ourairports:CYYC
19,Victoria International Airport,airport,CA,48.647201,-123.427792,ourairports:CYYJ
20,St. John's International Airport,airport,CA,47.618599,-52.7519,ourairports:CYYT
21,Toronto Pearson International Airport,airport,CA,43.675935,-79.629421,ourairports:CYYZ
22,Soummam–Abane Ramdane Airport,airport,DZ,36.712547,5.069909,ourairports:DAAE
23,Houari Boumediene Airport,airport,DZ,36.693886,3.214531,ourairports:DAAG
24,Tiska Djanet Airport,airport,DZ,24.285448,9.463652,ourairports:DAAJ
25,Aguenar – Hadj Bey Akhamok Airport,airport,DZ,22.810992,5.450832,ourairports:DAAT
26,Jijel Ferhat Abbas Airport,airport,DZ,36.794125,5.873652,ourairports:DAAV
27,Annaba Rabah Bitat Airport,airport,DZ,36.826781,7.81334,ourairports:DABB
28,Mohamed Boudiaf International Airport,airport,DZ,36.276001,6.62039,ourairports:DABC
29,Batna Mostefa Ben Boulaid Airport,airport,DZ,35.752102,6.30859,ourairports:DABT
30,Chlef Aboubakr Belkaid International Airport,airport,DZ,36.216614,1.341114,ourairports:DAOI
31,Zenata – Messali El Hadj Airport,airport,DZ,35.012732,-1.457117,ourairports:DAON
32,Oran Es-Sénia (Ahmed Ben Bella) International Airport,airport,DZ,35.620648,-0.622486,ourairports:DAOO
33,Biskra - Mohamed Khider Airport,airport,DZ,34.79318,5.738899,ourairports:DAUB
34,Cotonou Cadjehoun International Airport,airport,BJ,6.35723,2.38435,ourairports:DBBB
35,Ouagadougou Thomas Sankara International Airport,airport,BF,12.3532,-1.51242,ourairports:DFFD
36,Bobo Dioulasso Airport,airport,BF,11.1601,-4.33097,ourairports:DFOO
37,Kotoka International Airport,airport,GH,5.605189800262451,-0.1667860001325607,ourairports:DGAA
38,Yakubu Tali International Airport,airport,GH,9.553909,-0.86606,ourairports:DGLE
39,Prempeh I International Airport,airport,GH,6.71456,-1.59082,ourairports:DGSI
40,Félix-Houphouët-Boigny International Airport,airport,CI,5.26139,-3.92629,ourairports:DIAP
41,Yamoussoukro International Airport,airport,CI,6.90317,-5.36558,ourairports:DIYO
42,Nnamdi Azikiwe International Airport,airport,NG,9.00679,7.26317,ourairports:DNAA
43,Asaba International Airport,airport,NG,6.204167,6.665278,ourairports:DNAS
44,Sir Abubakar Tafawa Balewa Bauchi State International Airport,airport,NG,10.482833,9.744,ourairports:DNBC
45,Akanu Ibiam International Airport,airport,NG,6.473718,7.560463,ourairports:DNEN
46,General Tunde Idiagbon International Airport,airport,NG,8.44021,4.49392,ourairports:DNIL
47,Kaduna International Airport,airport,NG,10.696,7.32011,ourairports:DNKA
48,Mallam Aminu Kano International Airport,airport,NG,12.045613,8.523566,ourairports:DNKN
49,Maiduguri International Airport,airport,NG,11.854163,13.080702,ourairports:DNMA
50,Murtala Muhammed International Airport,airport,NG,6.57737,3.32116,ourairports:DNMM
51,Port Harcourt International Airport,airport,NG,5.01549,6.94959,ourairports:DNPO
52,Sadiq Abubakar III International Airport,airport,NG,12.915729,5.207547,ourairports:DNSO
53,Diori Hamani International Airport,airport,NE,13.4815,2.18361,ourairports:DRRN
54,Tunis Carthage International Airport,airport,TN,36.851002,10.2272,ourairports:DTTA
55,Djerba Zarzis International Airport,airport,TN,33.873719,10.7773,ourairports:DTTJ
56,Niamtougou International Airport,airport,TG,9.766675,1.090944,ourairports:DXNG
57,Lomé–Tokoin International Airport,airport,TG,6.16561,1.25451,ourairports:DXXX
58,Brussels Airport,airport,BE,50.901402,4.48444,ourairports:EBBR
59,Brussels South Charleroi Airport,airport,BE,50.461963,4.459562,ourairports:EBCI
60,Ostend-Bruges International Airport,airport,BE,51.1998,2.874673,ourairports:EBOS
61,Berlin Brandenburg Airport,airport,DE,52.361738,13.502341,ourairports:EDDB
62,Dresden Airport,airport,DE,51.134123,13.767831,ourairports:EDDC
63,Erfurt-Weimar Airport,airport,DE,50.978281,10.960713,ourairports:EDDE
64,Frankfurt Main Airport,airport,DE,50.026706,8.55835,ourairports:EDDF
65,Münster Osnabrück Airport,airport,DE,52.133816,7.688482,ourairports:EDDG
66,Hamburg Helmut Schmidt Airport,airport,DE,53.630402,9.98823,ourairports:EDDH
67,Cologne Bonn Airport,airport,DE,50.865898,7.14274,ourairports:EDDK
68,Düsseldorf Airport,airport,DE,51.289501,6.76678,ourairports:EDDL
69,Munich Airport,airport,DE,48.353802,11.7861,ourairports:EDDM
70,Nuremberg Airport,airport,DE,49.498699,11.078056,ourairports:EDDN
71,Leipzig/Halle Airport,airport,DE,51.420657,12.232705,ourairports:EDDP
72,Stuttgart Airport,airport,DE,48.689899,9.22196,ourairports:EDDS
73,Hannover Airport,airport,DE,52.461102,9.68508,ourairports:EDDV
74,Bremen Airport,airport,DE,53.046786,8.78932,ourairports:EDDW
75,Frankfurt-Hahn Airport,airport,DE,49.946353,7.261734,ourairports:EDFH
76,Memmingen Allgau Airport,airport,DE,47.988092,10.238248,ourairports:EDJA
77,Paderborn Lippstadt Airport,airport,DE,51.612527,8.617459,ourairports:EDLP
78,Weeze (Niederrhein) Airport,airport,DE,51.601362,6.141228,ourairports:EDLV
79,Dortmund Airport,airport,DE,51.518299,7.61224,ourairports:EDLW
80,Bodensee Airport Friedrichshafen,airport,DE,47.671299,9.51149,ourairports:EDNY
81,Karlsruhe Baden-Baden Airport,airport,DE,48.7794,8.0805,ourairports:EDSB
82,Kassel Airport,airport,DE,51.418395,9.391638,ourairports:EDVK
83,Berenice International Airport / Banas Cape Air Base,airport,EG,23.980437,35.460277,ourairports:EES
84,Lennart Meri Tallinn Airport,airport,EE,59.413246,24.83264,ourairports:EETN
85,Helsinki Vantaa Airport,airport,FI,60.318363,24.963341,ourairports:EFHK
86,Ivalo Airport,airport,FI,68.6073,27.4053,ourairports:EFIV
87,Kittilä International Airport,airport,FI,67.700996,24.8468,ourairports:EFKT
88,Kuopio Airport,airport,FI,63.007099,27.7978,ourairports:EFKU
89,Lappeenranta Airport,airport,FI,61.044601,28.144743,ourairports:EFLP
90,Oulu Airport,airport,FI,64.930099,25.354601,ourairports:EFOU
91,Rovaniemi Airport,airport,FI,66.563327,25.829751,ourairports:EFRO
92,Tampere-Pirkkala Airport,airport,FI,61.414101,23.604401,ourairports:EFTP
