asset_id,name,kind,latitude,longitude,nearest_km,detections_5km,high_conf_5km,total_frp_5km,max_frp_5km,detections_10km,high_conf_10km,total_frp_10km,max_frp_10km,detections_25km,high_conf_25km,total_frp_25km,max_frp_25km,days_exposed_10km,max_consecutive_days_10km,last_exposure_10km,risk_score,risk_level
33,Reus Airport,airport,41.147509,1.168354,4.37,2,0,1.1,0.6,50,4,240.6,19.7,63,4,318.7,20.8,27,3,2022-12-31,0.988,high
87,Muelle Juan Gonzalo,port,37.1878863,-6.9301361,1.89,27,0,38.6,4.7,32,0,78.8,22.5,59,0,198.8,22.5,22,7,2022-12-19,0.97,high
10,Badajoz Airport,airport,38.8913,-6.82133,1.94,10,0,35.6,5.2,32,0,136.8,10.2,86,2,412.2,16.3,20,2,2022-11-29,0.969,high
66,Vilar de Luz Airfield,airport,41.27729,-8.516209,1.4,29,1,636.9,149.5,37,1,698.2,149.5,81,4,1045.2,149.5,19,3,2022-10-04,0.969,high
191,Port de Tarragona,port,41.0951125,1.222517,3.14,5,0,3.5,1.3,37,4,204.9,19.7,57,4,277.9,20.8,18,3,2022-12-31,0.956,high
106,Porto Comercial da Sardoura,port,41.0762748,-8.287118,2.82,12,0,128.3,62.4,26,3,345.9,62.4,170,8,1693.4,201.2,11,2,2022-08-24,0.953,high
86,Muelle Sur,port,37.150247,-6.8710822,3.02,23,0,30.4,3.3,28,0,61.1,22.5,54,2,168.7,22.5,20,7,2022-12-19,0.949,high
94,Bilbao Port,port,43.3466906,-3.0526609,3.42,17,0,27.8,4.4,28,0,60.1,10.6,95,4,2444.2,195.7,20,1,2022-12-18,0.947,high
18,Getafe Air Base,airport,40.294102,-3.72383,3.0,13,0,40.5,5.2,30,0,82.1,5.2,70,0,236.0,31.6,15,1,2022-09-27,0.944,high
102,APM Terminal Algeciras,port,36.1409894,-5.4383146,3.99,4,0,2.7,1.3,23,0,31.6,5.7,29,0,339.8,137.9,21,2,2022-12-22,0.92,high
70,Puerto de Gijón/Xixón,port,43.5567185,-5.6726486,4.09,7,0,4.1,0.9,22,0,42.5,11.2,66,1,151.2,29.8,19,2,2022-11-25,0.917,high
69,Puerto del Musel,port,43.5628673,-5.6875251,2.85,10,0,5.8,0.9,22,0,42.5,11.2,66,1,151.2,29.8,19,2,2022-11-25,0.917,high
13,Madrid-Cuatro Vientos Airport,airport,40.370701,-3.78514,0.74,9,0,23.3,4.1,18,0,47.5,8.3,57,0,181.6,11.0,11,1,2022-09-27,0.914,high
174,Alcaidesa Varadero,port,36.1592806,-5.3575878,2.44,8,0,15.4,5.7,22,0,31.3,5.7,28,0,65.0,22.6,20,2,2022-12-22,0.91,high
154,Instalaciones Portuarias de Campamento,port,36.1698736,-5.3770741,0.56,22,0,31.3,5.7,22,0,31.3,5.7,28,0,65.0,22.6,20,2,2022-12-22,0.91,high
25,Málaga-Costa del Sol Airport,airport,36.6749,-4.49911,2.15,3,0,26.6,21.6,10,0,135.0,80.2,249,64,9318.0,216.6,7,1,2022-07-15,0.903,high
67,Vila Real Airport,airport,41.2743,-7.72047,3.04,1,0,5.1,5.1,55,8,885.5,97.8,630,88,22460.2,375.9,5,1,2022-11-11,0.898,high
7,Bilbao Airport,airport,43.301102,-2.91061,5.14,0,0,0.0,0.0,30,0,54.1,10.6,57,0,269.8,64.3,23,1,2022-12-18,0.897,high
190,Puerto de Málaga,port,36.70912,-4.4213069,3.63,2,0,11.7,6.9,11,0,49.8,21.6,231,58,8905.7,216.6,8,1,2022-09-07,0.891,high
43,Vitoria Airport,airport,42.882801,-2.72447,4.04,9,0,30.2,7.2,11,0,36.2,7.2,13,0,43.4,7.2,9,2,2022-09-22,0.885,high
