asset_id,name,kind,latitude,longitude,nearest_km,detections_5km,high_conf_5km,total_frp_5km,max_frp_5km,detections_10km,high_conf_10km,total_frp_10km,max_frp_10km,detections_25km,high_conf_25km,total_frp_25km,max_frp_25km,days_exposed_10km,max_consecutive_days_10km,last_exposure_10km,risk_score,risk_level
33,Reus Airport,airport,41.147509,1.168354,1.39,54,1,283.0,26.2,572,20,2393.3,26.2,680,23,2917.1,44.3,282,5,2025-12-31,0.988,high
191,Port de Tarragona,port,41.0951125,1.222517,0.84,57,1,165.8,16.6,432,20,2068.8,26.2,667,23,2863.2,44.3,198,5,2025-12-31,0.983,high
87,Muelle Juan Gonzalo,port,37.1878863,-6.9301361,1.89,232,1,404.3,17.8,277,7,961.5,49.7,534,24,3263.4,222.0,194,7,2025-12-03,0.963,high
154,Instalaciones Portuarias de Campamento,port,36.1698736,-5.3770741,0.56,153,0,269.9,50.9,193,5,1436.1,111.1,303,10,3077.1,120.9,149,4,2025-10-27,0.961,high
86,Muelle Sur,port,37.150247,-6.8710822,1.4,225,7,455.4,17.8,270,7,917.3,49.7,503,26,3486.6,222.0,189,7,2025-12-03,0.957,high
47,Seville Airport,airport,37.417999,-5.89311,0.98,63,4,663.2,102.0,219,9,1167.6,102.0,991,40,5706.9,102.0,147,3,2025-11-18,0.95,high
174,Alcaidesa Varadero,port,36.1592806,-5.3575878,1.51,57,0,162.0,50.9,182,5,1307.6,111.1,298,10,3061.3,120.9,141,4,2025-10-27,0.943,high
66,Vilar de Luz Airfield,airport,41.27729,-8.516209,1.4,103,5,989.2,149.5,257,14,2932.0,149.5,1217,141,15655.9,178.5,128,4,2025-10-10,0.941,high
177,Medway Terminals - Sines Raquete,port,37.9766309,-8.7752564,2.6,205,5,560.1,27.9,233,5,658.8,27.9,328,12,2132.5,205.6,149,5,2025-11-22,0.931,high
102,APM Terminal Algeciras,port,36.1409894,-5.4383146,2.86,67,0,282.2,82.4,178,0,638.2,82.4,321,14,3982.0,137.9,150,4,2025-10-27,0.926,high
162,Terminal XXI,port,37.9341123,-8.8410052,0.46,131,1,299.8,27.9,227,5,643.5,27.9,322,12,1985.3,205.6,145,5,2025-11-22,0.923,high
10,Badajoz Airport,airport,38.8913,-6.82133,1.15,73,3,431.2,62.4,184,7,1243.4,75.0,691,37,4963.1,100.5,109,3,2025-11-25,0.923,high
91,Puerto de Sevilla,port,37.355885,-5.9911445,1.48,43,1,86.9,11.8,182,13,1023.7,58.0,976,55,5869.5,102.0,119,3,2025-11-03,0.919,high
161,Terminal Multipurpose de Sines,port,37.9403323,-8.853268,0.34,77,1,170.9,15.2,226,5,639.0,27.9,321,12,1957.8,205.6,144,5,2025-11-22,0.914,high
84,Porto Comercial de Sines,port,37.9448052,-8.869441,1.37,17,0,59.7,15.2,226,5,639.0,27.9,315,12,1943.7,205.6,144,5,2025-11-22,0.914,high
198,Terminal de Gás Natural,port,37.939311,-8.8452799,0.15,134,1,303.0,27.9,226,5,639.0,27.9,321,12,1957.8,205.6,144,5,2025-11-22,0.914,high
81,Sevilla,port,37.3543494,-5.9943348,1.41,25,0,88.9,17.6,170,13,921.4,58.0,972,55,5868.8,102.0,117,3,2025-11-03,0.913,high
18,Getafe Air Base,airport,40.294102,-3.72383,1.23,136,0,463.5,17.6,233,0,723.6,17.6,589,8,2041.6,31.6,134,3,2025-09-29,0.909,high
106,Porto Comercial da Sardoura,port,41.0762748,-8.287118,1.25,64,5,682.4,78.6,536,92,8280.3,160.0,3813,459,60308.4,464.7,74,5,2025-09-27,0.907,high
160,Terminal Petroquímico,port,37.9509393,-8.8806559,0.33,16,0,58.4,15.2,218,5,589.2,27.9,310,12,1890.0,205.6,139,5,2025-11-22,0.898,high
69,Puerto del Musel,port,43.5628673,-5.6875251,2.81,53,0,32.3,1.9,195,1,291.2,11.2,550,5,1798.2,41.0,163,4,2025-11-21,0.877,high
70,Puerto de Gijón/Xixón,port,43.5567185,-5.6726486,4.02,43,0,26.5,1.9,195,1,289.8,11.2,552,5,1805.9,41.0,163,4,2025-11-21,0.875,high
41,Valencia Airport,airport,39.489162,-0.480961,1.13,34,1,180.2,26.2,122,2,769.6,128.2,417,11,2649.2,128.2,91,2,2025-12-03,0.874,high
17,F.G.L. Airport Granada-Jaén Airport,airport,37.188702,-3.77736,0.89,62,3,220.8,11.9,143,5,527.4,14.6,351,10,2014.5,242.7,104,4,2025-11-10,0.869,high
88,Azenha do Mar,port,37.4643137,-8.7974017,1.28,28,2,1540.3,236.8,312,46,13741.4,394.8,1004,134,30760.3,423.8,41,3,2025-12-11,0.865,high
7,Bilbao Airport,airport,43.301102,-2.91061,4.01,1,0,3.0,3.0,200,0,242.5,10.6,346,0,667.6,64.3,164,3,2025-12-14,0.864,high
67,Vila Real Airport,airport,41.2743,-7.72047,2.53,5,0,19.6,7.3,282,31,4886.8,232.6,3137,368,67595.0,375.9,41,5,2025-08-26,0.86,high
51,Braga Municipal Aerodrome,airport,41.587,-8.445189,1.45,12,1,77.7,22.1,99,10,1179.6,96.5,1970,162,20779.4,295.9,45,3,2025-08-24,0.856,high
94,Bilbao Port,port,43.3466906,-3.0526609,2.94,97,0,148.2,8.0,178,0,293.8,16.7,369,6,3087.7,195.7,137,2,2025-12-15,0.849,high
24,Adolfo Suárez Madrid–Barajas Airport,airport,40.493407,-3.572249,0.32,96,5,386.5,9.6,141,5,636.9,33.9,399,20,3101.9,197.9,68,5,2025-10-05,0.843,high
120,Porto da Coruña,port,43.3613585,-8.3956754,1.79,98,0,217.4,102.6,136,0,320.6,102.6,155,0,426.8,102.6,104,3,2025-10-30,0.841,high
6,Córdoba Airport,airport,37.841999,-4.84888,1.99,11,2,80.9,17.1,117,4,458.9,22.2,371,20,1744.7,46.9,88,3,2025-11-10,0.836,high
43,Vitoria Airport,airport,42.882801,-2.72447,1.64,92,0,347.1,8.6,117,1,462.6,14.8,156,2,671.9,22.4,78,2,2025-09-14,0.836,high
98,Porto Exterior da Coruña,port,43.3449263,-8.5109791,1.54,49,0,105.8,16.1,135,0,319.6,102.6,155,0,427.9,102.6,103,3,2025-10-30,0.834,high
12,A Coruña Airport,airport,43.302101,-8.37726,1.56,4,0,9.2,3.6,130,0,317.4,102.6,157,0,429.2,102.6,99,3,2025-10-30,0.818,high
28,Moron Air Base,airport,37.17490005493164,-5.615940093994141,1.04,27,2,150.8,25.1,86,3,383.1,25.1,630,15,3236.9,48.0,58,4,2025-09-20,0.809,high
118,MSC Terminal,port,39.4404517,-0.3245813,2.52,17,0,49.6,4.7,95,1,360.8,29.1,514,20,3320.2,219.0,66,2,2025-12-09,0.808,high
48,Alverca Air Base,airport,38.883301,-9.0301,1.3,31,0,81.2,13.7,49,4,746.5,106.7,310,16,3351.3,158.5,32,2,2025-09-30,0.807,high
117,APM Terminals,port,39.4526189,-0.3173326,2.78,12,0,24.8,4.7,95,1,340.1,29.1,543,19,3301.9,219.0,66,2,2025-12-09,0.806,high
116,Dársena de Santiago,port,37.59695,-0.9746702,2.92,17,0,29.8,6.2,145,0,208.0,6.2,244,1,658.7,45.0,107,3,2025-12-09,0.803,high
188,Porto da Lapa das Pombas,port,37.6363558,-8.8082915,1.53,16,0,65.3,10.2,68,0,374.9,24.5,407,46,12624.9,394.8,53,2,2024-12-04,0.801,high
73,Puerto de Cartagena,port,37.5927246,-0.9808162,2.95,15,0,26.9,6.2,144,0,207.6,6.2,240,1,652.0,45.0,107,3,2025-12-09,0.801,high
49,Bragança Airport,airport,41.8578,-6.70713,1.13,42,4,1498.6,204.0,89,4,1816.4,204.0,544,54,13974.7,368.5,25,2,2025-07-25,0.798,high
108,Varadero,port,43.4530298,-3.8185809,1.7,77,0,107.3,7.6,137,0,219.6,7.6,488,3,1302.8,55.8,102,3,2025-12-07,0.796,high
195,Puerto de Santander,port,43.4474824,-3.8209504,1.61,118,0,172.4,7.6,137,0,219.6,7.6,523,3,1430.5,55.8,102,3,2025-12-07,0.796,high
56,Faro - Gago Coutinho International Airport,airport,37.015909,-7.970939,1.83,57,1,517.0,86.3,108,5,1041.8,86.3,196,6,1272.6,86.3,26,4,2025-12-18,0.794,high
45,Seve Ballesteros-Santander Airport,airport,43.427101,-3.82001,2.05,120,0,175.0,7.6,136,0,218.5,7.6,645,3,1867.7,55.8,101,3,2025-12-07,0.789,high
72,Puerto de Escombreras,port,37.569926,-0.9715942,1.39,102,0,148.3,6.2,140,0,202.2,6.2,220,0,564.0,45.0,104,3,2025-10-02,0.786,high
196,CSP Iberian Valencia Terminal,port,39.4325257,-0.3217545,2.27,18,0,57.8,4.7,80,1,316.5,29.1,524,20,3244.1,219.0,53,2,2025-12-09,0.785,high
54,Cascais Airport,airport,38.724998,-9.35523,2.93,11,2,388.3,67.5,100,20,3001.4,218.6,235,43,5510.9,218.6,23,2,2025-09-17,0.784,high
13,Madrid-Cuatro Vientos Airport,airport,40.370701,-3.78514,0.74,26,0,84.4,10.7,88,0,242.8,10.7,486,8,1718.8,26.3,70,1,2025-09-16,0.783,high
50,Beja Airport / Airbase,airport,38.078899,-7.9324,0.6,21,3,167.8,30.7,77,9,614.2,30.7,332,16,2981.3,93.1,30,2,2024-11-13,0.774,high
40,Madrid–Torrejón Airport / Torrejón Air Base,airport,40.487875,-3.456808,4.03,6,0,46.9,16.3,64,2,317.9,17.6,375,19,2832.4,197.9,43,2,2025-10-14,0.773,high
152,Plataforma Logística de Elvas,port,38.8962336,-7.1421864,0.73,11,2,313.9,88.3,45,3,470.5,88.3,365,31,3232.7,143.4,31,2,2025-11-02,0.769,high
22,León Airport,airport,42.590709,-5.653406,2.39,10,0,101.9,23.7,59,3,496.8,46.3,314,6,1983.7,73.9,30,1,2025-11-09,0.767,high
14,Lleida-Alguaire Airport,airport,41.728185,0.535023,1.84,9,0,30.5,9.1,51,0,310.9,153.0,502,6,2103.3,153.0,43,2,2025-09-25,0.766,high
64,Sintra Air Base,airport,38.8311,-9.33955,2.31,14,2,144.5,29.1,54,9,1025.1,67.5,264,43,6072.7,218.6,23,2,2025-09-17,0.765,high
193,Port de Castelló,port,39.9629332,0.0174603,0.91,31,0,83.2,12.9,63,2,242.9,15.5,178,3,932.8,124.6,48,2,2025-09-02,0.761,high
46,Zaragoza Airport,airport,41.666199,-1.04155,3.01,12,1,65.5,20.8,67,2,280.6,21.6,415,7,1879.0,71.9,44,4,2025-09-01,0.76,high
4,Almería Airport,airport,36.843899,-2.3701,3.66,5,0,30.1,20.1,48,4,317.6,24.1,317,17,2662.1,79.0,33,2,2025-10-02,0.758,high
62,Lisbon Humberto Delgado Airport,airport,38.7813,-9.13592,1.78,14,1,74.5,19.5,47,6,559.7,66.2,354,28,4567.8,158.5,26,1,2025-09-11,0.757,high
111,Port d'Alacant,port,38.3288027,-0.4923146,1.55,14,0,22.8,4.2,74,0,213.0,29.7,155,6,643.2,29.7,56,2,2025-10-27,0.755,high
15,Armilla Air Base,airport,37.133202,-3.63569,1.43,13,0,56.9,16.2,59,0,232.7,16.2,354,9,2500.6,218.3,48,2,2025-08-03,0.755,high
96,Port de Tortosa,port,40.8079495,0.5173633,1.59,3,0,40.8,18.8,74,2,487.4,68.6,345,21,3000.5,246.6,24,2,2025-07-08,0.736,high
78,Denia,port,38.8436179,0.1125226,0.59,1,0,0.6,0.6,49,5,489.6,54.3,302,20,4349.8,216.2,23,6,2025-07-19,0.723,high
79,Dénia,port,38.8434433,0.1151613,0.81,1,0,0.6,0.6,49,5,489.6,54.3,288,19,4146.1,216.2,23,6,2025-07-19,0.723,high
151,Portinho do Canal,port,37.7370816,-8.7994538,1.22,18,0,123.2,24.5,43,1,214.8,24.5,316,13,3084.1,205.6,33,2,2025-11-20,0.723,high
30,Pamplona Airport,airport,42.77,-1.64633,4.24,5,0,22.8,13.7,64,1,197.5,21.3,540,47,7185.0,264.2,44,2,2025-12-17,0.721,high
61,Francisco de Sá Carneiro Airport,airport,41.2481002808,-8.68138980865,2.16,13,0,69.6,21.5,48,1,274.5,24.9,600,43,7785.1,178.5,30,2,2025-09-26,0.718,high
25,Málaga-Costa del Sol Airport,airport,36.6749,-4.49911,1.92,11,0,51.8,21.6,39,0,204.1,80.2,345,72,9837.5,216.6,32,1,2025-11-18,0.707,high
20,Jerez Airport,airport,36.744598,-6.06011,3.29,8,0,37.5,7.0,47,1,192.3,12.2,427,19,2302.8,81.4,40,2,2025-11-04,0.706,high
2,Albacete Airport / Los Llanos Air Base,airport,38.948502,-1.86352,2.28,5,0,30.5,8.1,47,0,201.6,14.4,165,5,856.7,34.3,31,2,2025-08-29,0.691,medium
75,Puerto Pesquero de Lo Pagán,port,37.8158808,-0.7837339,3.7,5,0,11.5,3.2,43,1,205.5,22.4,141,1,490.3,22.4,29,3,2025-04-29,0.687,medium
58,Montijo Air Base,airport,38.70929,-9.03368,3.55,1,0,34.9,34.9,38,1,182.5,34.9,349,27,3937.1,225.0,31,2,2025-11-08,0.684,medium
55,Évora Airfield,airport,38.533501,-7.88964,1.72,16,1,152.3,23.4,32,1,264.0,26.6,107,7,593.2,26.6,23,1,2025-11-26,0.674,medium
112,Puerto de Motril-Granada,port,36.7186349,-3.5226123,1.39,25,1,216.1,28.6,39,1,301.0,28.6,424,34,12010.3,491.5,22,1,2025-07-14,0.669,medium
85,Puerto Pesquero,port,36.4154268,-5.1551253,1.08,6,2,112.5,77.1,342,61,8161.1,255.6,1265,150,31096.3,548.3,17,4,2025-09-05,0.663,medium
68,Aerodromo Goncalves Lobato (Viseu Airport),airport,40.725498,-7.88899,0.53,2,0,5.0,4.2,148,9,3075.0,235.3,2998,427,66344.7,384.3,17,2,2025-07-31,0.66,medium
101,Liscont,port,38.7007482,-9.1732727,3.71,4,0,25.0,12.8,33,3,186.8,23.8,312,30,4202.8,152.3,25,1,2025-11-08,0.657,medium
156,Porto da Figueira da Foz - Zona Industrial,port,40.1403467,-8.8486867,2.95,10,1,40.8,5.4,39,1,130.8,8.3,79,3,261.7,8.9,27,3,2025-07-31,0.647,medium
31,Alcantarilla Air Base,airport,37.951099,-1.23032,0.48,13,0,49.3,11.2,37,0,147.7,11.2,485,5,1939.4,25.6,26,2,2025-05-11,0.646,medium
23,Logroño-Agoncillo Airport,airport,42.460953,-2.322235,1.07,25,1,80.2,6.5,35,1,162.9,29.7,135,7,1172.5,103.7,24,3,2025-05-04,0.644,medium
