asset_id,name,kind,days_exposed_10km,total_frp_10km,nearest_km,risk_score,risk_level
195,Simon Mwansa Kapwepwe International Airport,airport,874,30295.5,0.6,0.999,high
194,Mfuwe International Airport,airport,881,21530.6,0.3,0.999,high
560,Guadalajara International Airport,airport,858,15034.2,0.6,0.997,high
224,Bangoka International Airport,airport,740,20921.5,0.3,0.995,high
856,Arturo Michelena International Airport,airport,788,12676.4,0.0,0.994,high
47,Kaduna International Airport,airport,717,13274.7,0.2,0.993,high
687,Basra International Airport,airport,796,11883.1,4.4,0.992,high
284,Juba International Airport,airport,687,14067.5,0.5,0.992,high
226,Lubumbashi International Airport,airport,696,12224.8,0.5,0.99,high
840,Cap FAP David Abenzur Rengifo International Airport,airport,607,13378.4,0.2,0.99,high
855,General Manuel Carlos Piar International Airport,airport,925,9129.1,0.4,0.989,high
193,Kenneth Kaunda International Airport,airport,649,12331.7,0.4,0.989,high
173,Lanseria International Airport,airport,523,12461.7,0.4,0.987,high
212,Tete Airport,airport,752,7309.3,0.4,0.983,high
43,Asaba International Airport,airport,507,9765.2,0.3,0.983,high
185,Bangui M'Poko International Airport,airport,526,9583.6,0.0,0.982,high
641,Qasem Soleimani International Airport,airport,760,6440.5,1.6,0.982,high
3,Nadzab Tomodachi International Airport,airport,527,9232.6,0.2,0.982,high
584,Daniel Oduber Quirós International Airport,airport,433,15842.7,0.2,0.981,high
175,O.R. Tambo International Airport,airport,677,7463.3,0.5,0.981,high
1007,Luang Phabang International Airport,airport,425,18016.7,1.0,0.981,high
56,Niamtougou International Airport,airport,476,11785.6,0.2,0.981,high
1003,Halwara International Airport,airport,412,21549.0,0.7,0.98,high
775,Teniente Benjamín Matienzo International Airport,airport,459,12279.5,0.4,0.979,high
51,Port Harcourt International Airport,airport,573,6860.3,0.3,0.979,high
548,Ramón Villeda Morales International Airport,airport,481,9474.6,0.7,0.978,high
41,Yamoussoukro International Airport,airport,438,11799.2,0.1,0.977,high
565,General Francisco J. Mujica International Airport,airport,499,8246.9,0.9,0.977,high
172,Kruger Mpumalanga International Airport,airport,489,6776.5,0.3,0.974,high
237,Roberts International Airport,airport,416,9621.1,0.5,0.972,high
586,El Salvador International Airport Saint Óscar Arnulfo Romero y Galdámez,airport,452,8415.7,0.9,0.972,high
1015,Vijayawada International Airport,airport,467,7110.1,0.2,0.972,high
38,Yakubu Tali International Airport,airport,403,11495.9,0.4,0.971,high
192,Harry Mwanga Nkumbula International Airport,airport,407,9731.5,0.7,0.971,high
204,Dr. Antonio Agostinho Neto International Airport,airport,482,5861.3,1.0,0.97,high
528,Çukurova International Airport,airport,380,13109.5,0.8,0.969,high
562,Guanajuato International Airport,airport,470,5785.6,1.0,0.968,high
987,Sihanouk International Airport,airport,460,6202.8,1.3,0.968,high
1072,Supadio International Airport,airport,352,21235.6,1.2,0.967,high
999,Sri Guru Ram Das Ji International Airport,airport,373,10679.1,0.4,0.965,high
803,Rio Branco-Plácido de Castro International Airport,airport,370,9956.7,0.7,0.964,high
686,Kirkuk International Airport,airport,460,5345.4,0.3,0.964,high
334,Dara Sakor International Airport,airport,385,8296.4,0.3,0.963,high
776,Resistencia International Airport,airport,365,9743.5,0.3,0.962,high
168,Cape Town International Airport,airport,454,5237.4,0.7,0.962,high
827,Ernesto Cortissoz International Airport,airport,541,3749.4,0.5,0.961,high
217,Robert Gabriel Mugabe International Airport,airport,413,5124.4,0.3,0.958,high
45,Akanu Ibiam International Airport,airport,401,5581.8,0.3,0.957,high
837,Viru Viru International Airport,airport,335,8765.9,0.2,0.956,high
755,Clark International Airport / Clark Air Base,airport,395,5418.8,0.6,0.955,high
4,Port Moresby Jacksons International Airport,airport,407,5002.8,0.4,0.955,high
581,Ixtapa-Zihuatanejo International Airport,airport,346,8136.7,0.6,0.955,high
579,Carlos Rovirosa Pérez International Airport,airport,361,6596.7,1.1,0.954,high
940,Kurchatov Chelyabinsk International Airport,airport,506,3215.8,2.0,0.954,high
589,Ignacio Agramonte International Airport,airport,317,10492.3,0.6,0.954,high
577,Adolfo López Mateos International Airport,airport,380,5538.4,0.6,0.953,high
788,Várzea Grande–Marechal Rondon International Airport,airport,357,6394.8,0.3,0.952,high
850,General José Antonio Anzoategui International Airport,airport,404,4410.7,0.7,0.951,high
794,Santa Genoveva International Airport,airport,305,9901.0,0.6,0.951,high
986,Siem Reap-Angkor International Airport,airport,390,5033.9,0.3,0.951,high
671,Suhar International Airport,airport,488,2996.9,2.9,0.95,high
851,Jacinto Lara International Airport,airport,465,3206.6,0.4,0.949,high
873,Piarco International Airport,airport,379,5067.6,0.5,0.949,high
591,José Martí International Airport,airport,383,4669.8,0.7,0.949,high
574,Felipe Ángeles International Airport,airport,319,7881.0,0.1,0.949,high
580,General Heriberto Jara International Airport,airport,378,5047.0,1.0,0.948,high
191,Yaoundé Nsimalen International Airport,airport,324,6186.8,0.5,0.947,high
786,Tancredo Neves International Airport,airport,330,5671.3,0.7,0.946,high
209,Beira International Airport,airport,406,3636.3,0.4,0.946,high
176,Chief Dawid Stuurman International Airport,airport,263,15022.0,0.2,0.946,high
570,Hermanos Serdán International Airport,airport,402,3769.0,0.9,0.946,high
981,Surat International Airport,airport,449,3070.5,1.0,0.945,high
852,La Chinita International Airport,airport,407,3223.8,0.8,0.944,high
227,Modibo Keita International Airport,airport,467,2675.5,1.2,0.944,high
553,General Juan N. Álvarez International Airport,airport,334,5135.2,0.3,0.944,high
841,Capitán FAP José A. Quiñones González International Airport,airport,396,3405.1,1.4,0.941,high
681,Sialkot International Airport,airport,326,4754.8,0.3,0.94,high
550,Palmerola International Airport,airport,297,6115.9,0.4,0.939,high
564,Manuel Crescencio Rejón International Airport,airport,361,3805.9,1.6,0.938,high
1130,Jiayuguan International Airport,airport,698,2003.7,2.9,0.938,high
235,Lungi International Airport,airport,287,6100.1,0.6,0.937,high
1060,Syamsudin Noor International Airport,airport,243,13937.8,1.5,0.936,high
601,Nadi International Airport,airport,365,3139.7,0.1,0.933,high
802,Governador Jorge Teixeira de Oliveira International Airport,airport,277,5690.4,0.8,0.933,high
778,Gobernador Horacio Guzman International Airport,airport,280,5669.2,0.4,0.933,high
592,Frank Pais International Airport,airport,261,6698.4,1.0,0.931,high
685,Erbil International Airport,airport,268,5973.8,2.4,0.931,high
218,Chileka International Airport,airport,321,3715.7,0.1,0.931,high
42,Nnamdi Azikiwe International Airport,airport,333,3275.7,0.1,0.931,high
594,Juan Gualberto Gomez International Airport,airport,250,8393.5,0.3,0.929,high
797,Viracopos International Airport,airport,309,3549.9,0.7,0.927,high
